,source_id,g_abs,bp_rp,parallax,dist
2778,4117066834369677056,16.526166231895047,2.1279392,-16.28378030104754,61.41080151613626
2801,4117066834499881216,15.114125297126929,2.2866344,-12.08805596475435,82.72628807442172
5403,4118001281784474880,15.705486763100922,1.9629307,-12.410045184523112,80.57988388689559
6812,4117232860703242240,0.9997166550809808,1.0437021,10.199705344120506,98.04204790841705
6976,4117232998080843136,16.098714313887264,1.8676243,24.823042730491874,40.28515000587056
7008,4117232998142091392,15.579578941539022,1.9939346,-20.124874053290775,49.68975196326668
7901,4117236227900982272,16.818877925129186,1.0678997,-18.027409764206915,55.4710861449148
8278,4090772769705968640,15.569960219359842,1.995985,11.047357321765578,90.51938584712865
19892,4079099387851409664,15.385266790509109,3.895441,10.614394285128865,94.21168774567143
27061,4079643856592171008,15.804359798317362,1.5848198,19.9487361482677,50.12848897130947
32255,4082316116509482752,5.32035094387383,0.97969437,10.066591482308771,99.33849026827203
41655,4082192524522250368,15.34936814460882,1.0217762,11.38235879946177,87.85525194015905
45195,4082298936624094720,14.938539040009463,1.098589,-11.418861792928931,87.5744026098332
52433,4082930223797532160,10.522338379782356,2.7900677,10.721779094775192,93.26810328402568
