,date,ra,dec
0,2006-Jan-20 00:00:00.000,207.08781,-10.02864
1,2006-Jan-20 00:13:54.276,207.19701,-9.97212
2,2006-Jan-20 00:29:30.543,207.30739,-9.91493
3,2006-Jan-20 00:46:49.544,207.41706,-9.85803
4,2006-Jan-20 01:06:09.506,207.52607,-9.80141
5,2006-Jan-20 01:27:53.055,207.63443,-9.74504
6,2006-Jan-20 01:52:28.605,207.74215,-9.68893
7,2006-Jan-20 02:20:32.337,207.84921,-9.63307
8,2006-Jan-20 02:52:51.034,207.95558,-9.57746
9,2006-Jan-20 03:30:26.245,208.06119,-9.52212
10,2006-Jan-20 04:14:40.475,208.16597,-9.46707
11,2006-Jan-20 05:07:26.679,208.26982,-9.41234
12,2006-Jan-20 06:11:23.248,208.3726,-9.358
13,2006-Jan-20 07:30:18.360,208.47417,-9.30414
14,2006-Jan-20 09:09:51.627,208.57432,-9.25089
15,2006-Jan-20 11:18:49.104,208.67279,-9.19844
16,2006-Jan-20 14:11:26.161,208.76918,-9.14703
17,2006-Jan-20 18:12:18.756,208.86299,-9.09701
18,2006-Jan-21 00:07:10.289,208.95343,-9.04881
19,2006-Jan-21 09:29:34.265,209.03936,-9.00308
20,2006-Jan-22 01:57:27.013,209.11884,-8.96065
21,2006-Jan-23 11:45:05.488,209.18726,-8.92192
22,2006-Jan-27 08:35:41.490,209.21077,-8.87568
23,2006-Feb-05 11:37:22.710,208.89222,-8.71352
24,2006-Feb-07 07:56:06.723,208.75989,-8.66168
25,2006-Feb-08 20:43:49.142,208.63033,-8.6127
26,2006-Feb-10 04:47:38.135,208.50231,-8.56532
27,2006-Feb-11 09:31:02.376,208.37531,-8.51894
28,2006-Feb-12 11:43:21.260,208.24903,-8.47326
29,2006-Feb-13 11:56:44.277,208.12331,-8.42809
30,2006-Feb-14 10:33:34.771,207.99803,-8.38331
31,2006-Feb-15 07:50:12.764,207.8731,-8.33883
32,2006-Feb-16 03:58:59.214,207.74848,-8.2946
33,2006-Feb-16 23:09:30.323,207.62411,-8.25057
34,2006-Feb-17 17:29:24.815,207.49997,-8.2067
