,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
0,0,0,0,0,0,3618803417701443072,208.80174216827487,-8.707085138213362,9.196508313491623,2.4833622,28.743696000000003,0.056077782,34.790236878296085,2006-Jan-20 14:11:26.161,-263.0916,27.56662,208.793453593928,-8.706216665155491,16,0.0002456629372427983,0.0,11.0,113.41617222324523,41424.12274281809,2006,2119.416172223245,2232.8323444464904
1,1,95,95,95,1089,4117657650084825472,263.3719437368399,-21.825692784434448,11.429568840963073,2.644228,27.46431,0.02911619,36.410891487920715,2007-Dec-27 09:18:04.282,-256.09283,-168.99721,263.36349981536085,-21.83126497919909,845,0.0006220857178069274,1089.0,19.0,118.69950625062152,43353.80766297701,2007,2125.6995062506217,2244.3990125012433
2,2,17,17,17,119,3635672468691948672,199.0015645758204,-5.295677781278198,13.527578730999627,3.7725868,26.199251,0.07313506,38.16902984452553,2006-Mar-21 14:28:27.372,114.10433,-191.11124,199.0055085013052,-5.302283389175198,101,3.644105259773663e-05,119.0,7.0,124.43103729315322,45447.19206095128,2006,2130.431037293153,2254.8620745863063
3,3,72,72,72,766,4127569403769839488,255.8942060382795,-21.730916080109573,12.664875697868615,3.2540312,26.233635,0.044016864,38.11900264505256,2007-Feb-18 12:50:45.544,-4.3059363,-203.04753,255.8940574020841,-21.737925057985137,647,0.000233863811728395,766.0,16.0,124.26794862287134,45387.625555017534,2007,2131.2679486228712,2255.5358972457425
4,4,132,132,132,2462,4084898525733384832,284.0462265284358,-20.96409261327819,12.317519092851054,3.209919,26.656643,0.03803892,37.51410120295443,2012-Mar-15 09:57:12.067,64.882774,-197.32709,284.04843066959376,-20.970796037403613,1354,0.017359770983367627,2462.0,220.0,122.29596992163142,44667.38005417666,2012,2134.2959699216312,2256.5919398432625
5,5,57,57,57,417,4129827968133894784,250.38971581613288,-21.625861460466734,9.211510850054363,2.200612,24.692692,0.015868815,40.497812388334935,2007-Jan-09 22:42:47.054,140.0252,-67.803024,250.3948509673364,-21.628348004053827,604,5.883367091049384e-05,417.0,7.0,132.0228683859719,48220.032449292376,2007,2139.022868385972,2271.0457367719437
6,6,87,87,87,953,4070367444458173568,268.9591392047312,-21.91475514416911,12.573773329399884,3.3291426,23.488811,0.046800803,42.57346099871521,2008-Feb-11 18:44:52.045,-55.03448,-48.361908,268.9570174788216,-21.916619624603907,886,0.0003689321844993143,953.0,20.0,138.78948285581157,50691.47071825662,2008,2146.7894828558115,2285.578965711623
7,7,100,100,100,1206,4070503994477694592,267.2450454909461,-21.9778062297486,11.95362610211621,2.9262571,23.324146,0.30577472,42.874023700236414,2008-Jan-25 18:19:01.420,-20.437628,-106.26786,267.2442520032883,-21.98193206257617,873,0.0003064177169067215,1206.0,19.0,139.7693172627707,51049.34543705437,2008,2147.7693172627705,2287.538634525541
8,8,99,99,99,1187,4070503990056958336,267.2450393888884,-21.977931009028644,11.84562647631737,2.9260406000000003,22.995283,0.10821306,43.48717928300666,2008-Jan-25 18:19:01.420,-32.004345,-97.7036,267.24377905495874,-21.98177858534592,873,0.0003064177169067215,1187.0,19.0,141.76820446260172,51779.41899792065,2008,2149.7682044626017,2291.5364089252034
9,9,38,38,38,284,6309958285320848896,221.50725299973115,-15.304144313085642,14.09521673187223,4.1621275,22.645365,0.16100588,44.15914738130599,2006-Sep-18 13:39:29.188,-466.45255,25.995415,221.48860021864112,-15.303104793019989,384,3.6892896947873795e-05,284.0,7.0,143.95882046305752,52579.51958592713,2006,2149.9588204630577,2293.9176409261154
