*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 21:29:44 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pioneer 10 (spacecraft) (-23)   {source: pioneer_10}
Center body name: Earth (399)                     {source: pioneer_10}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1972-Mar-24 00:00:00.0000 UT      
Stop  time      : A.D. 2049-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: pioneer_10}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1972-Mar-24 00:00, , ,   246.62028,  -30.67989,
 1972-Jun-24 00:00, , ,   231.22569,  -23.00908,
 1972-Sep-24 00:00, , ,   256.77906,  -24.71742,
 1972-Dec-24 00:00, , ,   290.37296,  -23.36830,
 1973-Mar-24 00:00, , ,   316.56712,  -17.83242,
 1973-Jun-24 00:00, , ,   321.96611,  -16.42516,
 1973-Sep-24 00:00, , ,   307.54625,  -20.12253,
 1973-Dec-24 00:00, , ,   316.88804,  -17.05538,
 1974-Mar-24 00:00, , ,   340.59272,   -8.08666,
 1974-Jun-24 00:00, , ,   357.10130,   -0.37739,
 1974-Sep-24 00:00, , ,   355.96906,   -0.00244,
 1974-Dec-24 00:00, , ,   356.73032,    0.49445,
 1975-Mar-24 00:00, , ,    10.55284,    6.52191,
 1975-Jun-24 00:00, , ,    24.28816,   12.50027,
 1975-Sep-24 00:00, , ,    25.71589,   13.69005,
 1975-Dec-24 00:00, , ,    21.33592,   11.97580,
 1976-Mar-24 00:00, , ,    28.17249,   14.28218,
 1976-Jun-24 00:00, , ,    38.48715,   17.93866,
 1976-Sep-24 00:00, , ,    40.43363,   18.99616,
 1976-Dec-24 00:00, , ,    35.63145,   17.48473,
 1977-Mar-24 00:00, , ,    38.95928,   18.22954,
 1977-Jun-24 00:00, , ,    46.95048,   20.57123,
 1977-Sep-24 00:00, , ,    48.98386,   21.44231,
 1977-Dec-24 00:00, , ,    44.58520,   20.30572,
 1978-Mar-24 00:00, , ,    46.16993,   20.45406,
 1978-Jun-24 00:00, , ,    52.59292,   22.05499,
 1978-Sep-24 00:00, , ,    54.55167,   22.76939,
 1978-Dec-24 00:00, , ,    50.65095,   21.91460,
