,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit
0,6742973860154134144,290.79236633701845,-34.8029581320818,8.132188542299014,1.9105843999999996,16.723795000000003,0.016346138,59.795040764317406,1973-Apr-07 00:00:00.000,56.570269999999994,-57.294582,290.7954294912809,-34.80606050621802,0,772891.0,0.0,10.0
10,6742980903898504192,291.06418969655687,-34.84292597728104,11.86204676221958,3.275856,10.064705,0.076259345,99.35711085725374,1973-Apr-07 00:00:00.000,45.964832,-70.0727,291.0683253113601,-34.84923066029526,0,2040249.0,10.0,11.0
21,6742969603841922432,290.54886132065644,-34.876415342884215,9.106354530129492,1.974494,10.355426,0.020619748,96.56773327982049,1973-Apr-07 00:00:00.000,-59.397923,47.132507000000004,290.5436671197987,-34.87229372213378,0,742723.0,21.0,10.0
31,6743634945817195776,289.76026422108214,-35.01507965295336,9.261002913776537,2.0552397,10.539022000000001,0.018470667,94.88546069185264,1973-May-01 16:28:53.401,-10.9616995,-54.567640000000004,289.75932234664737,-35.019768329525604,12,504967.0,31.0,7.0
38,6743492348602227712,288.58328861322025,-34.98125379742918,8.314133049321931,1.9138718000000001,14.287609,0.016623927,69.9907166396425,1973-May-07 12:45:00.840,24.324787,29.230564,288.5848303311941,-34.97940114869569,19,385758.0,38.0,7.0
45,6755454558377578880,287.1580521633555,-35.00322513100722,11.027476092394869,2.919077,16.351435000000002,0.02903439,61.15671302730792,1973-May-13 03:17:48.398,-54.902916000000005,-74.34513000000001,287.15501159344694,-35.007342427219825,28,318327.0,45.0,7.0
52,6731696070608379776,285.305767561968,-34.97250263772144,10.503546397260717,2.74574,15.011647,0.024974838,66.61494138850036,1973-May-19 05:34:48.068,-2.7205242999999997,-85.367134,285.3056034502061,-34.97765228873767,40,272960.0,52.0,7.0
59,6731693905944997376,285.11387979589296,-34.97848556135709,10.668825207631253,2.8604307,10.8583,0.09740244599999999,92.09544594898554,1973-May-19 16:44:31.950,-70.43775,-14.858917000000002,285.10800545578115,-34.97972475953345,41,270368.0,59.0,7.0
66,6733987762097199360,280.0304385379652,-34.540545919413205,10.934731888095927,2.8668795,11.005859,0.03850317,90.86069210292813,1973-Jun-02 08:39:19.867,-43.51678,-49.6967,280.02685800028576,-34.54463493765318,74,236914.0,66.0,7.0
73,6734790405589956608,278.9753531509621,-34.35868220763299,10.802934592172,2.941949,12.515619000000001,0.045496944000000004,79.90016137367418,1973-Jun-05 02:27:53.008,-22.850113,-69.67659,278.97369985176937,-34.36372359409668,81,239689.0,73.0,7.0
80,4045720658787462784,273.3469973158181,-32.876691892124356,6.914808755807528,1.5122166000000001,13.834378,0.04254823,72.28369663397466,1973-Jun-22 02:09:10.955,-17.066,-57.4343,273.3458802274177,-32.88045136650476,120,330825.0,80.0,7.0
87,4045720658787466624,273.3471429596446,-32.87532057029184,10.513571777700779,2.965911,13.674539999999999,0.031434916,73.12860481850845,1973-Jun-22 02:09:10.955,-14.965116,-56.24487,273.34615193875504,-32.87904522180972,120,330825.0,87.0,7.0
94,4050361456798602496,271.03973441344533,-29.442819327757288,10.10947069250788,2.6842623,16.924858,0.031748194,59.08469037020341,1973-Jul-29 12:49:08.721,-20.56145,-193.86553999999998,271.0386342831393,-29.45319200892534,160,598040.0,94.0,7.0
101,4052158569827714304,274.7679476105093,-28.0446885918994,9.31237652162256,2.0779799999999997,11.136136,0.031418752,89.79775346330014,1973-Aug-21 21:19:39.460,52.738037,-1.3534623,274.7722361052317,-28.044798651287532,188,372397.0,101.0,7.0
108,4051476838257806464,275.9623919952132,-27.772729814208933,5.70722864788085,1.0860186,12.924722000000001,0.03180632,77.37110491285296,1973-Aug-26 18:58:40.994,-127.83673,-207.06808,275.95343525656455,-27.78723780970753,196,346067.0,108.0,7.0
115,4051473818955042944,275.96968578653235,-27.798454053077425,9.126369997391738,2.343976,12.853999,0.0326061,77.79679998990976,1973-Aug-26 18:58:40.994,-128.27368,-207.22966,275.9606489850885,-27.813053254309143,196,346067.0,115.0,7.0
122,4051673208545076608,277.12174659445844,-27.53379461684591,14.13643998730757,0.6874541999999999,19.61583,0.11755319,50.9792360115531,1973-Aug-31 08:24:51.815,200.10611,-2.3304505,277.13098440642705,-27.533902201086512,204,276185.0,122.0,7.0
129,4051725293559391232,277.7971521598452,-27.362521301183016,10.018425306487172,2.466158,10.242977,0.030258587000000003,97.62786601046129,1973-Sep-03 01:34:29.245,-16.787691,-74.44407,277.7956680015868,-27.369102717227612,209,316369.0,129.0,7.0
136,4072756099106808320,278.62334778811,-27.24815761934451,8.151939481331855,1.9838200000000001,11.916580999999999,0.017766032,83.91668609375213,1973-Sep-06 05:06:47.707,-10.860426,-61.090855000000005,278.6225224904181,-27.25279999171288,215,306304.0,136.0,7.0
143,4073014763553411200,280.83393143163033,-26.84227262193729,12.641490424324033,2.8367329,11.088786,0.11549773,90.1811964547641,1973-Sep-14 03:39:53.952,65.81954,2.2847776,280.8393065284957,-26.84208603751605,231,286218.0,143.0,7.0
150,4072326366182921984,282.41272500557596,-26.532616140068765,10.844137363731566,2.904317,11.862855,0.037133407,84.29673999857707,1973-Sep-19 07:44:29.961,-38.038544,-121.69623600000001,282.40982131651856,-26.541905876042556,242,275946.0,150.0,7.0
157,4072303654374819328,283.1464703957022,-26.45078478321868,7.788815527693582,1.8329581999999998,10.747556,0.014864703,93.04441166608056,1973-Sep-21 14:39:33.590,28.642590999999996,-56.54415,283.1488837331374,-26.455549021021763,247,271884.0,157.0,7.0
164,4073797031696975232,283.53846781918617,-26.36114648909549,10.356443036519039,3.1386185,13.742985999999998,0.030631145,72.76439195826117,1973-Sep-22 23:12:45.095,11.777733,-48.493546,283.5392438805282,-26.36434183802284,250,269603.0,164.0,7.0
171,4073799432561939456,283.5767061941591,-26.30182139473799,12.805884910892106,3.3541107000000006,10.693085,0.13665039999999998,93.51838374844101,1973-Sep-22 23:12:45.095,-7.2342815,-64.70682,283.5760935506373,-26.30730116662915,250,269603.0,171.0,7.0
178,4073638049186518784,284.08818470448733,-26.22071233977324,11.377164869418884,2.878622,19.954569,0.03579211,50.11383642863213,1973-Sep-24 18:10:57.735,-23.350763,-195.04463,284.0871250258486,-26.22956364057373,254,266738.0,178.0,7.0
185,4073718584099990784,284.36578387809885,-26.159219022957753,8.019444330774483,1.8711996,13.721945000000002,0.014299925,72.87596721326514,1973-Sep-25 15:29:26.993,-28.655514,-140.90008999999998,284.36389280647563,-26.168517483125573,256,265379.0,185.0,7.0
192,6764221961023932416,285.82142165644404,-25.923270798399106,12.139162803618095,3.144477,23.667227,0.03687348,42.252521126139676,1973-Sep-30 00:25:03.078,-48.35842,-32.34084,285.81957136479355,-25.924508224755158,266,295564.0,192.0,7.0
199,6764112559613577984,287.3608253314267,-25.63531745109884,10.674427018512533,2.71144,17.128407,0.027263803,58.382547060661565,1973-Oct-04 17:07:50.807,13.025628,-68.61811,287.3615139792178,-25.63894520017973,277,253746.0,199.0,7.0
206,6770062257548864384,288.08946601752115,-25.498586628400243,11.331333574431751,2.6706781000000004,12.159246000000001,0.04815372,82.24193863886241,1973-Oct-07 05:35:58.476,60.687824,-54.651030000000006,288.0939857252694,-25.50265674779482,283,251160.0,206.0,7.0
213,6770064284773325952,288.27501954775386,-25.50093457957665,8.0918455732957,1.8411273999999997,11.178736,0.017990083,89.45555417730145,1973-Oct-07 15:36:56.080,-10.579533999999999,-12.590964999999999,288.27416253106617,-25.501954536389718,284,250755.0,213.0,7.0
220,6769760579045190528,290.2649202089958,-25.10446043972196,9.833833873417854,2.4536762000000003,14.3946295,0.019752499,69.47035361325328,1973-Oct-13 10:11:10.987,-140.89053,-164.72879,290.2560568820483,-25.114823415077527,298,245710.0,220.0,7.0
227,6769605685345091968,291.13468491841184,-24.900045104628397,12.62710147771523,3.415492,11.989642,0.10674637,83.40532503407758,1973-Oct-16 06:26:20.352,-57.937233,-138.31842,291.1303090225731,-24.910492048143936,305,243515.0,227.0,7.0
234,6768173227850460032,293.2048409758446,-24.50230512784054,9.067780632998957,2.2054843999999996,10.042353,0.041660324,99.57825942031326,1973-Oct-22 06:41:50.819,72.84438,-111.53061000000001,293.21140962472913,-24.512362257555584,320,239332.0,234.0,7.0
241,6768217719411371264,294.1989912817208,-24.34267314299334,14.099673775982144,0.70942116,12.26902,0.26583746,81.50610182666148,1973-Oct-25 01:10:42.107,61.50926,-101.86678,294.20353117934417,-24.350191763436694,327,237627.0,241.0,7.0
248,6768052968765503232,294.31263706524214,-24.33728569409216,10.905663082749095,2.7631892999999996,10.575485,0.046578452,94.55830898531904,1973-Oct-25 10:38:09.245,0.6607265999999999,4.999104,294.31269364185437,-24.336857631460123,328,237397.0,248.0,7.0
262,6767756543002852736,296.78571249903666,-23.720544965664374,8.047144220736428,1.8230743000000003,13.152512,0.016076807,76.031105743518,1973-Nov-01 11:22:36.427,-69.11753,-84.88008,296.78095372626274,-23.72638899704891,346,233853.0,262.0,7.0
276,6852048991337559680,299.85903827871056,-23.127875855959548,9.082713635545236,2.3372002,11.669953999999999,0.021731002000000003,85.69013847862936,1973-Nov-10 07:43:38.890,73.68479,-85.02089000000001,299.8647560153895,-23.134473242568102,369,230712.0,276.0,7.0
283,6852131248551378176,301.404570464289,-22.77531968866408,11.101747121232664,3.0397453,10.44783,0.054321233,95.7136535374882,1973-Nov-14 12:20:24.715,61.025192000000004,-22.75654,301.40985976790813,-22.777292091314532,380,229554.0,283.0,7.0
290,6852131248551378432,301.40406493499694,-22.774710613239233,12.332128846046484,3.415371,10.3920765,0.22470614,96.2271592919883,1973-Nov-14 12:20:24.715,53.272034,-23.367334,301.40870701251566,-22.776746821921634,380,229554.0,290.0,7.0
297,6852132726020250496,301.56213542965753,-22.689969316232048,11.179912391748614,2.797678,16.326248,0.030400597999999997,61.25105962202219,1973-Nov-14 21:27:41.026,-11.716953,-251.62735,301.56148553382627,-22.703926149701786,381,229454.0,297.0,7.0
