*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 21:55:33 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pioneer 11 (spacecraft) (-24)   {source: pioneer_11}
Center body name: Earth (399)                     {source: pioneer_11}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1973-Apr-07 00:00:00.0000 UT      
Stop  time      : A.D. 2049-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: pioneer_11}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1973-Apr-07 00:00, , ,   290.69755,  -34.80406,
 1973-Jul-07 00:00, , ,   270.83175,  -31.57071,
 1973-Oct-07 00:00, , ,   287.63950,  -25.59463,
 1974-Jan-07 00:00, , ,   319.57110,  -17.69146,
 1974-Apr-07 00:00, , ,   345.57029,   -7.97461,
 1974-Jul-07 00:00, , ,   356.57620,   -3.56492,
 1974-Oct-07 00:00, , ,   343.98879,   -8.73211,
 1975-Jan-07 00:00, , ,   346.01369,   -6.05841,
 1975-Apr-07 00:00, , ,     5.98706,    5.11284,
 1975-Jul-07 00:00, , ,    27.53283,   17.59279,
 1975-Oct-07 00:00, , ,    32.46215,   26.39178,
 1976-Jan-07 00:00, , ,    26.69454,   26.13638,
 1976-Apr-07 00:00, , ,    50.42257,   31.06665,
 1976-Jul-07 00:00, , ,    86.36254,   35.70801,
 1976-Oct-07 00:00, , ,   115.58570,   36.55804,
 1977-Jan-07 00:00, , ,   115.24394,   39.37645,
 1977-Apr-07 00:00, , ,   111.44172,   35.00742,
 1977-Jul-07 00:00, , ,   129.78177,   28.23867,
 1977-Oct-07 00:00, , ,   149.09029,   21.94258,
 1978-Jan-07 00:00, , ,   153.88314,   20.98135,
 1978-Apr-07 00:00, , ,   145.37632,   22.11826,
 1978-Jul-07 00:00, , ,   150.82417,   17.76339,
 1978-Oct-07 00:00, , ,   163.45047,   11.91833,
 1979-Jan-07 00:00, , ,   168.43755,    9.68129,
 1979-Apr-07 00:00, , ,   161.64328,   11.61584,
 1979-Jul-07 00:00, , ,   162.71442,    9.85030,
 1979-Oct-07 00:00, , ,   173.27763,    5.53261,
 1980-Jan-07 00:00, , ,   182.33082,    3.77257,
