,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
109,109,1297,3814369840081992448,170.40697509246232,6.1335228685553735,10.952994841982393,2.542982,50.12897,0.029280724,19.948544286059008,1979-Dec-03 23:46:40.808,-766.2313,-1582.6664,170.39313348407757,6.104932744924837,1256,22.19736111111111,1297.0,15.0,65.03225437255236,23752.380587031024,1979,2044.0322543725524,2109.064508745105
63,63,536,865699110037321600,113.66379783055443,22.337198814248747,8.626734507888294,2.0994568,38.698074,0.018810311,25.841079098480076,1978-Jul-12 19:20:40.070,173.97565,-96.765175,113.66786895663417,22.334934455794805,591,3.156064814814815,536.0,7.0,84.24191786104504,30768.51807956809,1978,2062.241917861045,2146.4838357220897
256,256,3771,4540984195244025088,257.46817080562016,11.925767768358645,11.299846324551375,2.9291964,54.328346,0.3249541,18.406597457493234,2008-Feb-27 08:23:51.571,-363.3307,-77.59402,257.46211473343385,11.92447441499419,3103,5633.857962962963,3771.0,284.0,60.00550771142794,21916.41163652194,2008,2068.005507711428,2128.011015422856
59,59,508,3367558512468755968,108.34340351931557,23.06630409293805,10.269328401425748,2.8566742,33.078136,0.035145655,30.23144915343662,1978-Jun-25 18:07:17.610,237.75143,25.272953,108.3499122688274,23.066995972342216,552,3.0028587962962963,508.0,7.0,98.55452424020338,35996.05443349188,1978,2076.5545242402036,2175.109048480407
162,162,1778,1174143182830505984,222.75866853667813,9.72392000919409,4.9474233128012095,0.8879099,33.291656,0.023258043,30.03755611187449,1983-Apr-03 11:20:56.041,-216.19577,56.33984,222.75278786091462,9.72545249214148,1913,20.425891203703703,1778.0,7.0,97.92243292471083,35765.18940142138,1983,2080.922432924711,2178.8448658494217
161,161,1771,1174143182830505856,222.75710872318845,9.722406353251976,6.873264932965464,1.4470538999999998,33.282955,0.018506238,30.04540897591464,1983-Apr-03 11:20:56.041,-214.38213,55.79991,222.7512758553017,9.723924546574167,1913,20.425891203703703,1771.0,7.0,97.94803326148173,35774.53966842359,1983,2080.9480332614817,2178.8960665229633
119,119,1421,3895751464522132096,177.02336302564296,3.4381944960071347,11.99097681553316,3.2931633,31.412441,0.035155192,31.834520339402733,1980-Aug-23 19:24:33.508,-156.45473,-104.977066,177.0188527566198,3.4351682224156974,1388,6.289722222222222,1421.0,7.0,103.7805363064529,37904.80308056886,1980,2083.780536306453,2187.561072612906
245,245,2935,4448282823717198592,253.8597205608001,12.436684370574355,10.104597688427662,2.3089218,35.725338,0.016924359,27.991337702637523,1997-Mar-23 21:47:35.611,93.45437,-260.49622,253.862089417056,12.430081382401928,2806,739.0917129629629,2935.0,60.0,91.25176091059832,33328.79315498693,1997,2088.2517609105985,2179.503521821197
205,205,2143,4456798781792997888,242.36049445075557,11.574901242468474,4.658389586750754,0.7587943,29.60316,0.019976897,33.78017654234873,1987-Mar-23 07:45:58.595,-99.95981,99.78655,242.35743669511143,11.57795369823983,2310,92.47094907407408,2143.0,15.0,110.12337552805684,40221.46167786748,1987,2097.123375528057,2207.2467510561137
68,68,576,663664535628765824,124.93767874801756,20.190591837683,10.537845443965065,2.4809523,26.987059,0.0158399,37.05479775907696,1978-Aug-22 17:28:12.762,127.77929,-9.313807,124.94196640823928,20.19027931099715,675,15.678333333333333,576.0,19.0,120.79864069459089,44120.495527292376,1978,2098.798640694591,2219.597281389182
100,100,1221,3881856695563336448,151.5220927336959,12.975671616805565,12.9527521576555,3.59311,24.697603,0.07596741,40.489758899320606,1979-Aug-18 06:21:21.679,25.29507000000001,-301.81744,151.52302019657031,12.96460525221982,1100,3.8133449074074073,1221.0,7.0,131.99661401178517,48210.44330166442,1979,2110.9966140117854,2242.9932280235707
155,155,1712,3673624208468512896,213.81117944250684,7.2037639024423035,11.264918080982499,2.7532701,25.185051,0.025104288,39.70609396087009,1982-Sep-21 21:44:55.064,21.75262,-275.01663,213.81196158197147,7.193875376163876,1816,12.278425925925927,1712.0,8.0,129.4418663124365,47277.34725195431,1982,2111.4418663124366,2240.883732624873
236,236,2643,4447282646097778048,250.405019951295,11.655301276724579,7.66209155304892,1.7765006999999997,27.071383,0.030423138,36.93937681852036,1992-Feb-07 14:50:38.412,32.80985,-384.71686,250.40611746320042,11.642432234428279,2601,171.55109953703703,2643.0,20.0,120.42236842837636,43983.06584478018,1992,2112.4223684283766,2232.844736856753
29,29,270,146687018788948224,69.98842303882871,23.137636553392788,7.572446747248904,1.7353916,23.157421,0.014905446,43.18270135352822,1978-Mar-07 12:12:55.064,101.63475,-55.307384,69.99239740134581,23.135473793165136,277,2.8602546296296296,270.0,7.0,140.775606412502,51416.88248610223,1978,2118.775606412502,2259.551212825004
84,84,999,664021842547278592,125.58027025304995,20.39011770057894,12.925000995644286,0.440382,23.060406,0.06326626,43.364371453663566,1978-Aug-25 11:10:54.940,33.899605,-113.97128,125.58160145252545,20.385642176070558,680,15.55474537037037,999.0,19.0,141.3678509389432,51633.193876939615,1978,2119.3678509389433,2260.7357018778866
28,28,263,146677879098433152,69.71422712830997,23.149732324476236,4.192615731478148,0.73090553,23.034431,0.02227559,43.41327034028237,1978-Mar-06 16:30:03.448,105.6266,-54.23913,69.71837964377832,23.147600012976607,275,2.866712962962963,263.0,7.0,141.5272613093205,51691.41692061622,1978,2119.5272613093207,2261.0545226186414
