*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 19:57:29 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1977-Sep-06 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1977-Sep-06 00:00, , ,    65.45370,   25.53700,
 1977-Dec-06 00:00, , ,    50.31389,   20.96930,
 1978-Mar-06 00:00, , ,    69.10376,   23.07894,
 1978-Jun-06 00:00, , ,   101.37895,   23.70404,
 1978-Sep-06 00:00, , ,   127.85607,   19.55239,
 1978-Dec-06 00:00, , ,   135.88788,   17.58745,
 1979-Mar-06 00:00, , ,   122.31028,   20.83610,
 1979-Jun-06 00:00, , ,   134.43344,   18.27183,
 1979-Sep-06 00:00, , ,   155.29388,   11.66717,
 1979-Dec-06 00:00, , ,   170.21025,    6.16632,
 1980-Mar-06 00:00, , ,   169.75759,    6.92085,
 1980-Jun-06 00:00, , ,   168.54538,    7.27463,
 1980-Sep-06 00:00, , ,   178.43532,    2.88463,
 1980-Dec-06 00:00, , ,   189.37449,   -0.63074,
 1981-Mar-06 00:00, , ,   192.77122,    2.49954,
 1981-Jun-06 00:00, , ,   191.15249,    6.32662,
 1981-Sep-06 00:00, , ,   197.72421,    5.13313,
 1981-Dec-06 00:00, , ,   207.91268,    3.75564,
 1982-Mar-06 00:00, , ,   211.82461,    6.39231,
 1982-Jun-06 00:00, , ,   209.20905,    9.24075,
 1982-Sep-06 00:00, , ,   212.14912,    7.74711,
 1982-Dec-06 00:00, , ,   219.86071,    6.33196,
 1983-Mar-06 00:00, , ,   223.48707,    8.42067,
 1983-Jun-06 00:00, , ,   220.89583,   10.68286,
 1983-Sep-06 00:00, , ,   221.90674,    9.24340,
 1983-Dec-06 00:00, , ,   227.78811,    7.86507,
 1984-Mar-06 00:00, , ,   230.98658,    9.56625,
 1984-Jun-06 00:00, , ,   228.63415,   11.41878,
 1984-Sep-06 00:00, , ,   228.73791,   10.10887,
