*******************************************************************************
 Revised: Jan 21, 2015   Voyager 1 Spacecraft (interplanetary) / (Sun)     -31
                         http://www.jpl.nasa.gov/missions/voyager-1/

 BACKGROUND
   See the web-page above for extensive information on the Voyager Mission.

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Sep-5 to 1986-Jan-1:
          A patched conic mission-design type trajectory in which the conics 
          were constructed to approximately match specific events (such 
          satellite encounters), providing a rough accuracy. 

     #2) 1986-Jan-1 to 2031-Jan-1 (pfile_a54206u)
          Time-extended trajectory provided by Voyager Navigation
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan 10 20:47:48 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1977-Sep-06 00:00:00.0000 UT      
Stop  time      : A.D. 2005-Dec-31 00:00:00.0000 UT      
Step-size       : 14400 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.220110.p220404                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-10. PREDICTS-> 2022-APR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1977-Sep-06 00:00, , ,    65.45370,   25.53700,
 1977-Sep-16 00:00, , ,    66.76777,   25.78933,
 1977-Sep-26 00:00, , ,    65.96444,   25.65060,
 1977-Oct-06 00:00, , ,    64.31556,   25.34236,
 1977-Oct-16 00:00, , ,    61.75803,   24.80495,
 1977-Oct-26 00:00, , ,    58.67159,   24.04428,
 1977-Nov-05 00:00, , ,    55.59328,   23.15533,
 1977-Nov-15 00:00, , ,    52.99268,   22.27152,
 1977-Nov-25 00:00, , ,    51.21436,   21.52910,
 1977-Dec-05 00:00, , ,    50.35126,   21.00817,
 1977-Dec-15 00:00, , ,    50.35669,   20.72689,
 1977-Dec-25 00:00, , ,    51.13398,   20.66847,
 1978-Jan-04 00:00, , ,    52.54246,   20.79108,
 1978-Jan-14 00:00, , ,    54.46413,   21.04859,
 1978-Jan-24 00:00, , ,    56.80093,   21.39890,
 1978-Feb-03 00:00, , ,    59.46012,   21.80240,
 1978-Feb-13 00:00, , ,    62.37733,   22.22717,
 1978-Feb-23 00:00, , ,    65.49730,   22.64752,
 1978-Mar-05 00:00, , ,    68.76953,   23.04163,
 1978-Mar-15 00:00, , ,    72.16035,   23.39338,
 1978-Mar-25 00:00, , ,    75.63601,   23.69043,
 1978-Apr-04 00:00, , ,    79.16641,   23.92319,
 1978-Apr-14 00:00, , ,    82.73115,   24.08559,
 1978-Apr-24 00:00, , ,    86.30634,   24.17397,
 1978-May-04 00:00, , ,    89.87224,   24.18641,
 1978-May-14 00:00, , ,    93.41438,   24.12329,
 1978-May-24 00:00, , ,    96.91430,   23.98659,
 1978-Jun-03 00:00, , ,   100.35826,   23.77933,
 1978-Jun-13 00:00, , ,   103.73448,   23.50611,
 1978-Jun-23 00:00, , ,   107.02766,   23.17268,
 1978-Jul-03 00:00, , ,   110.22725,   22.78532,
 1978-Jul-13 00:00, , ,   113.32163,   22.35165,
 1978-Jul-23 00:00, , ,   116.29645,   21.88015,
 1978-Aug-02 00:00, , ,   119.14117,   21.37962,
 1978-Aug-12 00:00, , ,   121.84151,   20.86027,
 1978-Aug-22 00:00, , ,   124.38111,   20.33300,
 1978-Sep-01 00:00, , ,   126.74564,   19.80908,
 1978-Sep-11 00:00, , ,   128.91479,   19.30143,
 1978-Sep-21 00:00, , ,   130.86694,   18.82330,
