*******************************************************************************
 Revised: Jan 21, 2015   Voyager 1 Spacecraft (interplanetary) / (Sun)     -31
                         http://www.jpl.nasa.gov/missions/voyager-1/

 BACKGROUND
   See the web-page above for extensive information on the Voyager Mission.

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Sep-5 to 1986-Jan-1:
          A patched conic mission-design type trajectory in which the conics 
          were constructed to approximately match specific events (such 
          satellite encounters), providing a rough accuracy. 

     #2) 1986-Jan-1 to 2031-Jan-1 (pfile_a54206u)
          Time-extended trajectory provided by Voyager Navigation
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan 10 22:17:11 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2006-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.220110.p220404                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-10. PREDICTS-> 2022-APR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 2006-Jan-01 00:00, , ,   256.26481,   11.79854,
 2006-Apr-01 00:00, , ,   256.63917,   12.21235,
 2006-Jul-01 00:00, , ,   255.93466,   12.45279,
 2006-Oct-01 00:00, , ,   255.67343,   12.05224,
 2007-Jan-01 00:00, , ,   256.49260,   11.81825,
 2007-Apr-01 00:00, , ,   256.85799,   12.21626,
 2007-Jul-01 00:00, , ,   256.17876,   12.45063,
 2007-Oct-01 00:00, , ,   255.91834,   12.06526,
 2008-Jan-01 00:00, , ,   256.70519,   11.83678,
 2008-Apr-01 00:00, , ,   257.05911,   12.22540,
 2008-Jul-01 00:00, , ,   256.39832,   12.44756,
 2008-Oct-01 00:00, , ,   256.15097,   12.07248,
 2009-Jan-01 00:00, , ,   256.91295,   11.85572,
 2009-Apr-01 00:00, , ,   257.24974,   12.22911,
 2009-Jul-01 00:00, , ,   256.61099,   12.44613,
 2009-Oct-01 00:00, , ,   256.36446,   12.08433,
 2010-Jan-01 00:00, , ,   257.09819,   11.87229,
 2010-Apr-01 00:00, , ,   257.42773,   12.23274,
 2010-Jul-01 00:00, , ,   256.80966,   12.44494,
 2010-Oct-01 00:00, , ,   256.56403,   12.09556,
 2011-Jan-01 00:00, , ,   257.27143,   11.88789,
 2011-Apr-01 00:00, , ,   257.59411,   12.23620,
 2011-Jul-01 00:00, , ,   256.99541,   12.44377,
 2011-Oct-01 00:00, , ,   256.75095,   12.10596,
 2012-Jan-01 00:00, , ,   257.43374,   11.90243,
 2012-Apr-01 00:00, , ,   257.74729,   12.24387,
 2012-Jul-01 00:00, , ,   257.16244,   12.44124,
 2012-Oct-01 00:00, , ,   256.92990,   12.11093,
 2013-Jan-01 00:00, , ,   257.59438,   11.91699,
 2013-Apr-01 00:00, , ,   257.89392,   12.24622,
 2013-Jul-01 00:00, , ,   257.32664,   12.43957,
 2013-Oct-01 00:00, , ,   257.09524,   12.11956,
 2014-Jan-01 00:00, , ,   257.73811,   11.92911,
 2014-Apr-01 00:00, , ,   258.03232,   12.24806,
 2014-Jul-01 00:00, , ,   257.48167,   12.43755,
 2014-Oct-01 00:00, , ,   257.25173,   12.12728,
 2015-Jan-01 00:00, , ,   257.87427,   11.94023,
 2015-Apr-01 00:00, , ,   258.16346,   12.24944,
 2015-Jul-01 00:00, , ,   257.62874,   12.43531,
