,source_id,g_abs,bp_rp,parallax,dist
97,149730638774998016,8.838865524467044,2.2317867,12.107673327802614,82.59225145294592
2134,611978173336479744,15.119834734026249,2.4381409,-10.167583683571788,98.35178456566273
2180,660949807058832256,2.599319443644088,0.5345597,15.283525772541376,65.4299285964902
2184,660950558679219328,10.168927937507084,2.4082775,15.302572255404675,65.34849065305427
2646,3870184928662682752,14.497685959343537,3.931446,13.096135628945639,76.35840283982378
2702,3817272482059636224,10.152659822729595,2.831788,11.652807030505388,85.81623272247988
3267,3705719227761753216,5.945804821133317,1.0757389,10.884565839614254,91.87320971136133
3294,3708841114934118784,8.219873580026597,2.097004,10.989238276042157,90.99811787502311
3786,3723406040525056128,11.123283904581374,2.8117237,19.88501458724983,50.289125794315225
4564,1161526798003788800,17.04507428451238,2.3713531,17.876382036795096,55.939730866217346
5410,1164899348057808896,9.026822105488964,2.101945,10.85700773182279,92.10640949153209
5591,1189346748582562816,12.260832621298837,2.5661669,10.574004893338499,94.57154692920452
5593,1189346748583631104,3.9568522075804236,0.73911476,10.39917106029494,96.16151077830604
5596,1189346989101800448,10.41489881052683,2.475565,10.43784736825372,95.80519476089088
5993,1165182506661911296,9.881890840520065,2.3283958,13.873531881392175,72.07969885024349
6021,1164941331362671360,14.245071873324719,3.7186928,11.409903413006635,87.64316084043774
6434,4456015517198088960,8.352254237889419,1.9739971,10.247008656021455,97.58945596404561
6543,1189694572217087616,9.898633874663998,2.4754677,12.287642236446574,81.38257777671
7440,4456798781792997888,4.658389544099306,0.7587943,29.60316027669737,33.780177205849434
7658,4457681483471741696,12.703656485765539,4.0302134,11.819753878848537,84.60413053012051
7919,4457445328989960960,9.252064025337393,2.4098272,12.638421251113003,79.12380669475904
11312,4459959980802483072,11.213277940376715,2.8083124,16.308886224751244,61.316265636971956
11544,4460017017967923712,12.743114705576557,3.3377075,16.013706071720904,62.44650648146532
12246,4459181835808722560,12.915780793098198,3.5114832,19.80029364452296,50.50430149941812
12498,4459555738480632320,13.018377156941751,3.4562435,18.754751492362395,53.31982140137851
13199,4459028247777139072,11.301516213554958,2.7105818,11.87453355496535,84.21383419998412
15142,4447201144797273856,11.902127842009907,2.8281288,14.294156727632618,69.95865646742624
15705,4460831240692893952,15.86903760251576,2.2504768,11.92664367724317,83.84588548646478
18006,4447282646097778048,7.662091535581373,1.7765007,27.071382304818055,36.93937711566446
19452,4448832510810865664,16.28461726873402,1.6872349,-13.422250025999135,74.50315692696697
20734,4447867173962332672,10.63922385866968,2.5233097,12.49640595463447,80.02300850582849
20745,4447867448840239744,11.14342448136467,2.751399,12.543945435518054,79.71973452375758
22314,4447795907569310976,7.954181514147626,1.9047375,14.691165222729527,68.06812018238307
25481,4448626932200095616,7.8870317421071015,1.8671827,10.547106109822096,94.81273721791233
29299,4448282823717198592,10.104597780219091,2.3089218,35.725339492341966,27.991336519401266
30822,4448117690812864256,13.630725142693981,2.0943222,10.74995485659172,93.02364645622806
31086,4448327457017514368,12.01548909554104,2.9825077,11.549775086494872,86.58177258960635
35481,4544204042031997696,12.812215974492588,3.3656292,10.132921269319807,98.68822360514866
35484,4544204046325901184,4.4682170707856805,0.750638,10.282346711738336,97.25406349684738
38278,4448119855478628352,12.680575769480356,3.298151,14.382125368226516,69.53075254157041
