*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 20:43:55 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Earth (399)                     {source: Voyager_2}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_2}
Rel. light bend : Sun, EARTH                      {source: Voyager_2}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1977-Aug-21 00:00, , ,    69.59450,   41.46983,
 1977-Nov-21 00:00, , ,    51.99766,   32.94202,
 1978-Feb-21 00:00, , ,    64.22605,   25.98462,
 1978-May-21 00:00, , ,    96.68682,   25.83016,
 1978-Aug-21 00:00, , ,   126.58174,   21.22482,
 1978-Nov-21 00:00, , ,   141.06300,   17.36899,
 1979-Feb-21 00:00, , ,   128.08758,   20.64481,
 1979-May-21 00:00, , ,   127.59800,   19.94029,
 1979-Aug-21 00:00, , ,   145.97333,   14.53110,
 1979-Nov-21 00:00, , ,   163.59875,    8.43784,
 1980-Feb-21 00:00, , ,   164.36814,    8.81674,
 1980-May-21 00:00, , ,   161.50449,    9.96108,
 1980-Aug-21 00:00, , ,   172.34008,    5.31526,
 1980-Nov-21 00:00, , ,   185.55464,   -0.15320,
 1981-Feb-21 00:00, , ,   188.25574,   -0.78128,
 1981-May-21 00:00, , ,   183.27177,    1.35056,
 1981-Aug-21 00:00, , ,   187.93509,   -0.97654,
 1981-Nov-21 00:00, , ,   200.58045,   -6.36947,
 1982-Feb-21 00:00, , ,   207.68900,   -8.96166,
 1982-May-21 00:00, , ,   205.59577,   -8.30282,
 1982-Aug-21 00:00, , ,   209.08985,  -10.07790,
 1982-Nov-21 00:00, , ,   220.33767,  -14.14119,
 1983-Feb-21 00:00, , ,   228.63894,  -16.53999,
 1983-May-21 00:00, , ,   227.10467,  -16.22714,
 1983-Aug-21 00:00, , ,   227.34891,  -16.59893,
 1983-Nov-21 00:00, , ,   235.86519,  -18.88883,
 1984-Feb-21 00:00, , ,   243.68475,  -20.48241,
 1984-May-21 00:00, , ,   242.76238,  -20.41352,
 1984-Aug-21 00:00, , ,   241.27866,  -20.32257,
