,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
110,110,1051,3698534434669937024,183.56472559955643,0.6227271293051196,12.28953558181262,3.3687391000000004,123.64296000000002,0.044886699999999995,8.087803812507984,1980-Nov-01 06:08:25.209,-951.3357,-284.04938,183.5577580535325,0.620646762591032,1557,11.922893518518519,1051.0,9.0,26.366240428776024,9630.005654206156,1980,2006.366240428776,2032.7324808575522
154,154,1620,6306068659857135232,226.94794579637428,-16.46512505032577,18.60239125866537,4.8324833,134.9474,0.26107797,7.410294515561155,1983-Jan-19 14:09:29.247,-151.79462,-896.01215,226.9469271878985,-16.471137684937485,2054,49.101585648148145,1620.0,19.0,24.157560120729364,8823.307258495193,1983,2007.1575601207294,2031.3151202414588
10,10,99,117709729140217216,52.207647981299324,26.48616945277209,11.206700760746283,2.765005,65.13194,0.032710668,15.353449594669025,1978-Jan-05 22:35:08.306,225.89886,-133.00423999999998,52.210788746444365,26.484320239905482,225,5.009791666666667,99.0,7.0,50.05224567862102,18281.08221165954,1978,2028.052245678621,2078.104491357242
103,103,995,3814369840081992448,170.40697509246232,6.1335228685553735,10.952994841982393,2.542982,50.12897,0.029280723999999998,19.948544286059008,1980-Aug-06 06:06:58.140,-766.2313,-1582.6664,170.39313348407757,6.104932744924837,1445,5.485405092592592,995.0,7.0,65.03225437255236,23752.380587031024,1980,2045.0322543725524,2110.064508745105
26,26,218,3429699684156117760,90.97724324420338,26.146118361178626,10.821682641628179,2.5510902,44.92557,0.045850974,22.25903795789901,1978-May-04 12:51:13.077,338.1935,-544.28845,90.98406014711159,26.135147241387426,498,2.6745717592592597,218.0,7.0,72.56446374275077,26503.444737402293,1978,2050.564463742751,2123.1289274855017
63,63,653,663767443044739840,127.05152834465488,20.136505290091094,10.169940150819494,2.437481,42.562508,0.02322565,23.494856287776138,1979-May-13 07:42:00.102,-261.22934,-634.08246,127.04597045151907,20.123014605817307,1013,7.6997337962962975,653.0,7.0,76.5932314981502,27974.911872384382,1979,2055.59323149815,2132.1864629963
183,183,2062,4116870812104603520,265.6143477599134,-23.11518170919483,11.858930052212491,3.0802869999999998,45.983753,0.021350493999999998,21.74681121734741,1986-Dec-01 19:20:11.005,88.81967,-17.79864,265.6160968822844,-23.115532217112694,2498,13.966273148148147,2062.0,7.0,70.89460456855255,25893.545372618133,1986,2056.8946045685525,2127.789209137105
53,53,481,635202989946889728,138.67126400912932,18.162353698683194,13.170207209640994,3.635357,40.892246,0.043835465,24.45451379647689,1978-Oct-16 01:39:54.250,-151.51821999999999,-9.157337,138.6679086474816,18.162150910013935,849,13.352604166666667,481.0,14.0,79.72171497651465,29117.55917802221,1978,2057.7217149765147,2137.4434299530294
78,78,758,3881626244798724480,151.73952171152746,12.680989227055733,9.169292094578989,2.1764164,40.152676,0.023284262000000003,24.904940563566623,1979-Sep-13 02:04:00.115,-321.48932,-43.752056,151.7322712190739,12.680002494576168,1207,3.9079282407407407,758.0,7.0,81.19010623722718,29653.874402084857,1979,2060.190106237227,2141.3802124744543
141,141,1431,6300158578700499712,217.81383326651127,-13.307811086199536,12.752891136513007,3.5617437000000005,41.175476,0.08898441,24.286300860189233,1982-Oct-29 15:15:04.990,-268.55145,-186.5033,217.8079271185411,-13.311912780871792,1979,5.979930555555557,1431.0,7.0,79.17334080421689,28917.27099533218,1982,2061.173340804217,2140.3466816084338
42,42,337,676841387916344960,123.07561364066851,21.97998256140275,11.136345660304883,2.9561987000000003,37.564793,0.28032225,26.620671376208,1978-Aug-07 00:44:41.676,-425.54895,8.075746,123.0653551380312,21.980177239494,729,3.2774884259259265,337.0,7.0,86.78338868643807,31696.764883834643,1978,2064.7833886864382,2151.5667773728765
80,80,772,3883317121883053184,155.5396277249419,11.308799924326308,5.419804304478,0.9577655999999999,36.928047,0.02669662,27.079688105923825,1979-Sep-30 21:35:32.323,21.675209,-324.4053600000001,155.54015924835488,11.30084479704597,1238,4.667002314814815,772.0,7.0,88.27978322531166,32243.30802521283,1979,2067.279783225312,2155.5595664506236
60,60,633,675806064576497664,124.38047510248295,20.99685142278909,9.081744478451176,2.3096228,32.01277,0.023206222999999998,31.237532703936964,1979-Mar-21 23:28:26.023,-373.74857000000003,-208.38087,124.36990274826924,20.99095688132369,993,29.64481481481481,633.0,6.0,101.83435661483449,37193.98041000215,1979,2080.8343566148346,2182.6687132296693
253,253,2935,6449124395465377920,299.63827373646814,-54.937440156706494,6.33863901817184,1.2453165000000002,42.33558,0.022039475,23.620794271553716,2010-Apr-26 19:53:54.040,108.509026,-123.550964,299.6405947400319,-54.94008290671795,3514,241.3119328703704,2935.0,16.0,77.00378932526512,28124.864013159833,2010,2087.003789325265,2164.0075786505304
115,115,1128,3698568141572462336,183.97382289323124,0.8453198686646551,15.103055331828328,4.669746400000001,29.626471999999996,0.17069301,33.753596581789104,1980-Nov-04 22:17:42.092,213.24933,-416.51227,183.9803410255841,0.8325888457463352,1561,37.12707175925926,1128.0,17.0,110.03672485663247,40189.813386636444,1980,2090.0367248566326,2200.0734497132653
25,25,211,3441022283096212480,84.91230409837722,26.38510979874835,12.925973349894994,3.4206324,28.447071,0.041140795,35.15300388388233,1978-Apr-18 03:30:36.594,93.27243,-46.172695000000004,84.91527324183996,26.383639982261595,455,2.6658912037037044,211.0,7.0,114.59879266145639,41856.06303167033,1978,2092.598792661456,2207.1975853229123
190,190,2140,4066590798160123776,272.3238553237349,-22.91048389012115,5.1413610604450115,0.9809737,30.708014000000002,0.022628432,32.564789606954555,1987-Nov-23 16:35:05.063,40.413452,-459.825,272.325047086118,-22.92404378474073,2578,17.613472222222217,2140.0,7.0,106.16121411867185,38774.32184470371,1987,2093.161214118672,2199.322428237344
189,189,2133,4066590592001656960,272.3260951280291,-22.922127154020966,10.842877656768751,2.8954315,30.539827000000002,0.02551865,32.74412748455579,1987-Nov-23 16:35:05.063,40.3872,-456.65567000000004,272.32729267514145,-22.93566774824963,2578,17.613472222222217,2133.0,7.0,106.74585559965186,38987.856299216844,1987,2093.745855599652,2200.4917111993036
123,123,1275,3683020802347714304,190.73698093291569,-2.25299748441088,10.089306929561042,2.600072,28.73115300000001,0.03290301,34.805424725189845,1981-Sep-09 10:39:39.460,-201.79361,58.276024,190.73062074725414,-2.251160724901524,1719,5.913240740740742,1275.0,7.0,113.46568460411889,41442.206644808386,1981,2094.465684604119,2207.931369208238
124,124,1282,3683020806638595584,190.73279371109933,-2.2508562754255084,6.071064544621277,1.1121035,28.639709999999997,0.019838225,34.91655531473703,1981-Sep-09 10:39:39.460,-202.00256000000002,54.773922,190.7264066110449,-2.249124383938816,1719,5.913240740740742,1282.0,7.0,113.82797032604272,41574.52788188384,1981,2094.8279703260428,2208.6559406520855
22,22,190,3421680597955802624,76.98200375071784,26.3276714086822,4.52726384090302,0.82223654,26.131037,0.02375694,38.26866914025785,1978-Mar-27 16:38:53.383,-69.8962,-66.11773000000001,76.97958153741901,26.325380136221856,399,2.7044907407407406,190.0,7.0,124.75586139724058,45565.83081672815,1978,2102.7558613972406,2227.511722794481
245,245,2784,6642655488681211392,296.21813354038875,-52.336746245303075,6.07138364096241,1.1398401000000002,33.308846,0.01676072,30.02205523451639,2005-Jun-08 00:29:27.717,-33.99139,-91.83039000000001,296.2172094279974,-52.339242806979215,3383,167.83496527777774,2784.0,16.0,97.87190006452343,35746.73277956654,2005,2102.8719000645233,2200.7438001290466
24,24,204,3417930713549307008,82.34951174117856,26.332307700762925,8.975934215854576,2.2212152,26.061239999999998,0.020397145,38.37116073771215,1978-Apr-11 06:50:11.791,136.59663,-103.34600999999999,82.35425809796206,26.328716711633106,437,2.670127314814815,204.0,7.0,125.08998400494161,45687.86575796488,1978,2103.0899840049415,2228.179968009883
145,145,1473,6306971633782725760,225.2067740365368,-15.552850105342738,11.786538696298303,3.1253176,26.790165000000002,0.044889312,37.32713113037228,1982-Dec-28 14:17:13.776,-377.57254,-139.247,225.19401139824475,-15.557556906892922,2038,8.28800925925926,1473.0,7.0,121.68644748501363,44444.75807942638,1982,2103.6864474850136,2225.372894970027
